no,name,volume,price,market_cap,52_week_low,52_week_high
1,SHARDA CROPCHEM LIMITED,6343376,437.8,34220640000,258.7,455
2,GLOBAL EDUCATION LIMITED,61683,80.15,742143900,35.5,80.15
3,BANARAS BEADS LIMITED,342992,99.85,610200600,43.95,112.65
4,JIK INDUSTRIES LIMITED,942674,1,69004050,0.25,1
5,JINDAL WORLDWIDE LIMITED,890085,327.75,62572390000,44,333
6,THE INDIAN CARD CLOTHING COMPANY LIMITED,27858,307.85,1741936000,117.35,317.8
7,SEJAL GLASS LIMITED,1,52.55,5005000,2.5,52.55
8,BIGBLOC CONSTRUCTION LIMITED,480557,71.5,4820654000,15.62,82.8
9,SEL MANUFACTURING COMPANY LIMITED,106,91.8,28976300,4.95,2400
10,GODHA CABCON & INSULATION LIMITED,62464,67.7,1432416000,16.05,67.7
11,DIGICONTENT LIMITED,18105,19.15,1058909000,6.85,23.5
12,HILTON METAL FORGING LIMITED,27383,26.7,316674800,8.85,29.15
13,GTN TEXTILES LIMITED,4304,19.5,216512900,4.85,19.5
14,GOENKA DIAMOND AND JEWELS LIMITED,1196142,3.3,998550000,1,3.3
15,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LTD,170762,5.8,192200000,1.25,5.8
16,VIKAS ECOTECH LIMITED,61287588,5.8,6354002000,1,5.8
17,JIYA ECO-PRODUCTS LIMITED,189614,3.65,105256400,2.65,7.4
18,McNALLY BHARAT ENGG CO LTD,934779,9.9,2009922000,5.5,12.95
19,BANDHAN BANK LIMITED,33321083,307.85,4.75975E+11,229.55,372.55
20,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,1072527,2.5,956426900,0.25,2.5
21,ELECTROTHERM (INDIA) LIMITED,207314,132.9,2005082000,98.1,198.8
22,TRANSPORT CORPORATION OF INDIA LIMITED,327848,687.65,60800890000,235,858.6
23,ORBIT EXPORTS LTD,214173,88.15,2760213000,55.4,109.5
24,MMP INDUSTRIES LIMITED,111470,157.3,4568660000,77.6,198.8
25,NIIT LIMITED,2272190,406.3,61603300000,136,507
26,JHS SVENDGAARD LABORATORIES LIMITED,466706,26.2,1912694000,18.6,34.35
27,SALONA COTSPIN LIMITED,29268,272.5,1619240000,66.95,350
28,RAMKY INFRASTRUCTURE LIMITED,647347,216.4,16905020000,41.3,258.5
29,PNB GILTS LIMITED,1578227,63.45,12879720000,42.1,94.65
30,ANGEL ONE LIMITED,1719765,1345.35,1.25291E+11,286.35,1689
31,ELGI EQUIPMENTS LIMITED,667543,329.15,1.17151E+11,149.8,382.7
32,IFB AGRO INDUSTRIES LTD.,110250,702.8,7355524000,367.7,867
33,BHARAT ROAD NETWORK LIMITED,227123,33.35,3118742000,25.75,41.55
34,PENNAR INDUSTRIES LIMITED,2857792,39,6169841000,16.2,48
35,JUST DIAL LIMITED,1947836,841.8,78279880000,562.5,1138
36,XCHANGING SOLUTIONS LIMITED,1109094,102.8,12733440000,60.05,141
37,SUPRAJIT ENGINEERING LIMITED,436229,391.35,60183710000,202.4,474.9
38,UNIPHOS ENTERPRISES LIMITED,82531,124.05,9586896000,69.25,157.9
39,GREAVES COTTON LIMITED,4735008,210.15,53995590000,84.45,258.9
40,INDIA NIPPON ELECTRICALS LIMITED,86561,524.85,13191680000,326.45,640.8
41,VODAFONE IDEA LIMITED,345228541,10.95,3.40514E+11,4.55,16.8
42,YES BANK LIMITED,200908635,13.45,3.44505E+11,10.5,18.1
43,JAIPRAKASH POWER VENTURES LIMITED,184605790,8.8,65793200000,2.4,11.15
44,SUZLON ENERGY LIMITED,76853899,11.1,1.06082E+11,4.4,13.1
45,GTL infrastructure ltd,63935369,2.1,27766620000,0.65,4.05
46,VIKAS ECOTECH LIMITED,61287588,5.8,6354002000,1,5.8
47,THE BANK OF BARODA LIMITED,56181631,92.6,4.79385E+11,61.75,108
48,STEEL AUTHORITY OF INDIA LIMITED,51823192,97.35,4.23585E+11,55.3,151.3
49,Punjab National Bank,51367085,38,4.27227E+11,31.9,48.2
50,ALOK INDUSTRIES LIMITED,47277021,28.9,1.56653E+11,18.7,35.8
51,THE TATA POWER COMPANY LIMITED,43279408,229.55,7.73112E+11,74.45,267.85
52,BANDHAN BANK LIMITED,33321083,307.85,4.75975E+11,229.55,372.55
53,IDFC FIRST BANK LIMITED,31463513,44.55,2.90252E+11,40.75,69.3
54,BHARAT HEAVY ELECTRICALS LIMITED,29775640,57.25,2.07531E+11,35.1,80.35
55,ICICI BANK LIMITED,29612316,798.45,5.58656E+12,512,867
56,Zee Entertainment Enterprises Limited,28800291,268.1,2.77925E+11,166.8,378.7
57,OIL AND NATURAL GAS CORPORATION LIMITED,28783449,165.7,2.05876E+12,87.75,172.75
58,RBL BANK LIMITED,25487180,137.75,87969360000,123.8,268.8
59,TATA MOTORS LIMITED,25228959,478.45,1.79609E+12,241.15,536.7
60,NATIONAL ALUMINIUM CO LTD,24601605,101.2,1.98815E+11,43.1,127.95
